id,category,question,answer,type,difficulty,options,correct_option
1,Γενικά,"Ποια είναι η πρωτεύουσα της Ελλάδας;","Αθήνα","multiple","easy","[""Αθήνα"",""Θεσσαλονίκη"",""Πάτρα"",""Ηράκλειο""]",1
2,Γενικά,"Η Σαντορίνη ανήκει στα Δωδεκάνησα;","Λάθος","truefalse","easy","",""
3,Γενικά,"Πότε γιορτάζουμε την Επανάσταση του 1821;","25 Μαρτίου","regular","easy","",""
4,Γενικά,"Ποιος είναι ο ύμνος της Ελλάδας;","Ύμνος εις την Ελευθερίαν","multiple","easy","[""Ύμνος εις την Ελευθερίαν"",""Μακεδονία Ξακστή"",""Ο Ίωνας"",""Σονάτα του Σεληνόφωτος""]",1
5,Γενικά,"Η Ελλάδα έχει 9 γεωγραφικά διαμερίσματα;","Λάθος","truefalse","easy","",""
6,Γενικά,"Πόσες θάλασσες βρέχουν την Ελλάδα;","4","multiple","easy","[""4"",""3"",""5"",""2""]",1
7,Γενικά,"Ποια είναι τα 3 χρώματα της ελληνικής σημαίας;","Γαλάζιο λευκό κόκκινο","regular","easy","",""
8,Γενικά,"Το ευρώ εισήχθη στην Ελλάδα το 2002;","Σωστό","truefalse","easy","",""
9,Γενικά,"Ποια νησιά ανήκουν στα Κυκλάδες;","Σαντορίνη Μύκονος","multiple","easy","[""Σαντορίνη Μύκονος"",""Κρήτη Ρόδος"",""Κέρκυρα Ζάκυνθος"",""Λέσβος Χίος""]",1
10,Γενικά,"Πότε τελειώνει η σχολική χρονιά στην Ελλάδα;","Ιούνιος","regular","easy","",""
11,Ιστορία,"Πότε έγινε το ΟΧΙ του 1940;","28 Οκτωβρίου 1940","regular","easy","",""
12,Ιστορία,"Ποιός κήρυξε την Επανάσταση του 1821;","Αλέξανδρος Υψηλάντης","multiple","easy","[""Αλέξανδρος Υψηλάντης"",""Θεόδωρος Κολοκοτρώνης"",""Ανδρέας Μιαούλης"",""Μακρυγιάννης""]",1
13,Ιστορία,"Ο Ελ Alamein έγινε στην Ελλάδα;","Λάθος","truefalse","easy","",""
14,Ιστορία,"Ποια μάχη θεωρείται καθοριστική για την Επανάσταση;","Βαλτέτσι","multiple","easy","[""Βαλτέτσι"",""Γραμματικός"",""Δολιανά"",""Αλαμάνα""]",1
15,Ιστορία,"Πότε έληξε ο Εμφύλιος Πόλεμος;","1949","multiple","easy","[""1949"",""1944"",""1946"",""1950""]",1
16,Ιστορία,"Ποιος πολέμησε στη Μάχη του Αλαμάνα;","Αθανάσιος Διάκος","regular","easy","",""
17,Ιστορία,"Η Μικρά Ασία καταστράφηκε το 1922;","Σωστό","truefalse","easy","",""
18,Ιστορία,"Πότε έγινε η απελευθέρωση της Αθήνας;","1834","regular","easy","",""
19,Ιστορία,"Ο Καποδίστριας δολοφονήθηκε το 1831;","Σωστό","truefalse","easy","",""
20,Ιστορία,"Ποιος ήταν ο πρώτος βασιλιάς της Ελλάδας;","Όθων","regular","easy","",""
21,Γεωγραφία,"Ποιο είναι το υψηλότερο βουνό της Ελλάδας;","Όλυμπος","multiple","easy","[""Όλυμπος"",""Πάρνωνας"",""Ταΰγετος"",""Σμόλικας""]",1
22,Γεωγραφία,"Ποιο νησί έχει την πρωτεύουσα Ηράκλειο;","Κρήτη","multiple","easy","[""Κρήτη"",""Ρόδος"",""Λέσβος"",""Σύρος""]",1
23,Γεωγραφία,"Η Κρήτη ανήκει στα Κυκλαδονήσια;","Λάθος","truefalse","easy","",""
24,Γεωγραφία,"Σε ποιο πέλαγος βρίσκεται η Σαντορίνη;","Κρητικό","multiple","easy","[""Αιγαίο"",""Ιόνιο"",""Κρητικό"",""Λιβυκό""]",3
25,Γεωγραφία,"Ποια πόλη είναι πρωτεύουσα Μακεδονίας;","Θεσσαλονίκη","multiple","easy","[""Θεσσαλονίκη"",""Καβάλα"",""Έδεσσα"",""Κοζάνη""]",1
26,Γεωγραφία,"Ποιο είναι το μεγαλύτερο νησί της Μεσογείου;","Κρήτη","regular","easy","",""
27,Γεωγραφία,"Ο Ολύμπος έχει υψόμετρο 2917μ;","Σωστό","truefalse","easy","",""
28,Γεωγραφία,"Ποια θάλασσα βρέχει την Πελοπόννησο δυτικά;","Ιόνιο Πέλαγος","regular","easy","",""
29,Γεωγραφία,"Η Κέρκυρα είναι στο Αιγαίο;","Λάθος","truefalse","easy","",""
30,Γεωγραφία,"Πόσες Περιφέρειες έχει η Ελλάδα;","13","regular","easy","",""
31,Επιστήμη,"Ποιός Ελληνικός φιλόσοφος θεωρείται πατέρας της Ιατρικής;","Ιπποκράτης","multiple","easy","[""Ιπποκράτης"",""Γαληνός"",""Αριστοτέλης"",""Πυθαγόρας""]",1
32,Επιστήμη,"Ποιος Ελληνικός φιλόσοφος δίδαξε τον Μ. Αλέξανδρο;","Αριστοτέλης","regular","easy","",""
33,Επιστήμη,"Ο Αρχιμήδης ανακάλυψε την επιπολής ώθηση;","Σωστό","truefalse","easy","",""
34,Επιστήμη,"Ποιος ανακάλυψε την ατομική θεωρία;","Δημόκριτος","multiple","easy","[""Δημόκριτος"",""Λεύκιππος"",""Επίκουρος"",""Αναξίμανδρος""]",1
35,Επιστήμη,"Η Γη περιστρέφεται γύρω από τη Σελήνη;","Λάθος","truefalse","easy","",""
36,Επιστήμη,"Ποιο είναι το χημικό σύμβολο του χρυσού;","Au","regular","easy","",""
37,Επιστήμη,"Ποιο είναι το βαρύτερο στοιχείο;","Ώσμιο","multiple","easy","[""Ώσμιο"",""Πλουτώνιο"",""Ουράνιο"",""Ιρίδιο""]",1
38,Επιστήμη,"Το νερό βράζει στους 100°C;","Σωστό","truefalse","easy","",""
39,Επιστήμη,"Ποιος Ελληνικός μαθηματικός έδωσε το θεώρημα;","Πυθαγόρας","multiple","easy","[""Πυθαγόρας"",""Ευκλείδης"",""Αρχιμήδης"",""Απολλώνιος""]",1
40,Επιστήμη,"Πόσες ηπείρους έχει η Γη;","7","regular","easy","",""
41,Καλλιτεχνικά,"Ποιός Ελληνικός ποιητής έγραψε τον Ζορμπά;","Νίκος Καζαντζάκης","multiple","easy","[""Νίκος Καζαντζάκης"",""Γιάννης Ρίτσος"",""Οδυσσέας Ελύτης"",""Κώστας Βάρναλης""]",1
42,Καλλιτεχνικά,"Ποιός Ελληνικός ποιητής πήρε Νόμπελ;","Γεώργιος Σεφέρης","regular","easy","",""
43,Καλλιτεχνικά,"Ο Ελ Γκρέκο ήταν Ισπανός;","Σωστό","truefalse","easy","",""
44,Καλλιτεχνικά,"Ποιο όργανο συνόδευε αρχαία θέατρα;","Αυλός","multiple","easy","[""Λύρα"",""Φλάουτο"",""Αυλός"",""Κιθάρα""]",3
45,Καλλιτεχνικά,"Η λύρα είναι έγχορδο;","Σωστό","truefalse","easy","",""
46,Καλλιτεχνικά,"Ποιο μουσικό όργανο παίζει ο Ζαμπέτας;","Μπουζούκι","regular","easy","",""
47,Καλλιτεχνικά,"Ο Μίκη Θεοδωράκης έγραψε Ζορμπά;","Σωστό","truefalse","easy","",""
48,Καλλιτεχνικά,"Ποιο αρχαίο θέατρο είναι στη Επίδαυρο;","Μεγάλο Θέατρο","regular","easy","",""
49,Καλλιτεχνικά,"Η όπερα ξεκίνησε στην Ελλάδα;","Λάθος","truefalse","easy","",""
50,Καλλιτεχνικά,"Ποιο είδος μουσικής ξεκίνησε στην Κρήτη;","Λύρα","multiple","easy","[""Λύρα"",""Μαντολίνο"",""Μπουζούκι"",""Λύρα""]",1
